AARS2	AARSD1	ABCA7	ABCE1	ABCF1	ABTB1	ACO1	ADRB2	AGO1	AGO2	AGO3	AGO4	AIMP1	AIMP2	AKT1	AKT2	ALKBH1	AMBRA1	AMFR	ANG	APOD	APP	ATF3	ATF4	ATF6	ATG13	ATG14	ATG5	AUP1	BAG3	BAG5	BAK1	BARHL2	BAX	BCAP31	BCL3	BECN1	BFAR	BHLHA15	BNIP3	BOK	BTG2	CALCOCO2	CALR	CALR3	CANX	CAPRIN1	CAPRIN2	CARS2	CASC3	CCND1	CDC37	CDK4	CDKAL1	CELF1	CHCHD1	CIRBP	CLGN	CNBP	CNOT1	CNOT10	CNOT11	CNOT2	CNOT3	CNOT6	CNOT7	CNOT8	CNOT9	COA3	COPS5	CPEB1	CPEB2	CPEB3	CPEB4	CREB3	CREBRF	CTIF	CTTN	CYFIP1	DALRD3	DAPK1	DAPK3	DARS2	DDIT3	DDRGK1	DDX25	DDX6	DENR	DERL1	DERL2	DERL3	DHFR	DHX29	DHX33	DHX36	DHX9	DNAJC1	DNAJC3	DND1	DPH1	DPH2	DPH3	DPH5	DPH6	DPH7	DRG1	DRG2	EARS2	EDEM1	EDEM2	EEF2	EEFSEC	EFL1	EGFR	EIF1	EIF5	EIF6	ELAVL1	ENC1	EP300	ERBB2	ERLEC1	ERMP1	ERN1	ERN2	ETF1	FAF2	FARS2	FARSA	FARSB	FASTKD2	FASTKD3	FBXO7	FBXW7	FICD	FMR1	FOXO3	FTO	FTSJ1	FXR1	FXR2	GATB	GATC	GCN1	GEMIN5	GFM1	GFM2	GGT1	GGT5	GGT7	GIGYF2	GLE1	GRB7	GRM5	GSPT1	GSPT2	GTPBP1	GTPBP2	GUF1	HABP4	HARS2	HDAC6	HERPUD1	HERPUD2	HNRNPD	HNRNPR	HSPA5	HSPA8	HSPB8	HTRA2	HTT	HUWE1	IARS2	IGFBP5	IGHMBP2	ILF3	IMPACT	IREB2	IRX3	ISG15	ITGA2	JMJD4	KBTBD8	KHDRBS1	KHSRP	KLHL25	KRT17	LAMP2	LARP1	LARP4	LARP6	LARS2	LGALS8	LRPPRC	LRSAM1	LTN1	MAGOH	MALSU1	MAPK1	MAPK3	MAPKAPK5	MARS1	MARS2	MCTS1	METTL14	METTL16	METTL17	METTL3	METTL5	MFN2	MKNK1	MKNK2	MOV10	MRPL1	MRPL10	MRPL11	MRPL12	MRPL13	MRPL14	MRPL15	MRPL16	MRPL17	MRPL18	MRPL19	MRPL2	MRPL20	MRPL21	MRPL22	MRPL23	MRPL24	MRPL27	MRPL3	MRPL30	MRPL32	MRPL33	MRPL34	MRPL35	MRPL36	MRPL37	MRPL39	MRPL4	MRPL41	MRPL43	MRPL44	MRPL47	MRPL49	MRPL51	MRPL52	MRPL55	MRPL57	MRPL58	MRPL9	MRPS10	MRPS11	MRPS12	MRPS14	MRPS15	MRPS16	MRPS17	MRPS2	MRPS21	MRPS23	MRPS25	MRPS27	MRPS30	MRPS34	MRPS35	MRPS5	MRPS6	MRPS7	MRPS9	MRRF	MTFMT	MTG1	MTG2	MTIF2	MTIF3	MTOR	MTRF1	NANOS1	NANOS2	NANOS3	NARS2	NAT10	NCBP1	NCBP2	NCK1	NCK2	NCL	NDUFA7	NEMF	NGDN	NGRN	NIBAN1	NKX2-2	NOA1	NOD1	NOD2	NPLOC4	NSUN3	NSUN5	NUFIP1	OGFOD1	OLIG2	OPTN	OS9	PAIP1	PAIP2	PARP16	PARS2	PATL2	PAX6	PCIF1	PDCL	PDIA6	PER1	PER2	PHB2	PINK1	PIWIL2	PIWIL4	PJVK	PKM	PLD1	PLXNB2	POLDIP3	PRKDC	PRKN	PRR16	PSTK	PTAFR	PTCD3	PTPN1	PTPN2	PUM1	PUM2	PUM3	PUS7	PYM1	QRSL1	RACK1	RARS2	RBM24	RBM4	RETREG1	RGS2	RHBDD1	RIDA	RIPK2	RMND1	RNF121	RNF126	RNF139	RNF41	ROCK1	ROCK2	RPL11	RPL13	RPL15	RPL19	RPL22	RPL23	RPL24	RPL26	RPL28	RPL29	RPL3	RPL30	RPL32	RPL34	RPL35	RPL36	RPL37	RPL38	RPL4	RPL6	RPL7	RPL8	RPLP0	RPLP1	RPLP2	RPS11	RPS13	RPS14	RPS15	RPS16	RPS17	RPS18	RPS19	RPS2	RPS21	RPS28	RPS5	RPS6	RPS7	RPS8	RPS9	RPUSD3	RPUSD4	RWDD1	SARNP	SARS2	SECISBP2	SELENOS	SEPSECS	SERP1	SERP2	SESN2	SHFL	SHMT1	SHMT2	SMURF1	SOX4	SPTLC1	SPTLC2	SQSTM1	SRBD1	SREBF1	SRP9	ST13	STAT3	STBD1	STING1	STUB1	SVIP	SYNCRIP	SYVN1	TACO1	TARBP2	TARDBP	TARS2	TBK1	TBL2	TCOF1	TEX264	THBS1	TIA1	TIGAR	TMA7	TMED2	TMEM129	TMEM33	TMTC4	TOB1	TOMM7	TPR	TRAP1	TRIM71	TRUB2	TSC1	TSFM	TSPO	TUFM	TYMS	UBA5	UBA52	UBAC2	UBQLN1	UCN	UFC1	UFD1	UFL1	UFM1	UHMK1	UNK	UPF1	UQCC1	UQCC2	USP16	USP30	VAPB	VARS2	VCP	VDAC1	VIM	WARS2	WDFY3	WDR81	WFS1	WIPI2	XBP1	XRN1	YARS2	YBX2	YOD1	YTHDF1	YTHDF2	YTHDF3	ZAR1	ZCCHC4	ZFP36
364	46	446	378	273	492	46	482	245	378	492	446	46	273	446	46	46	493	446	275	499	446	275	496	446	229	493	273	136	136	245	378	499	273	501	136	493	101	273	503	378	446	275	159	482	482	273	136	378	498	273	273	498	46	273	273	446	503	273	378	46	378	378	46	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	101	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	275	499	136	493	504	378	245	275	273	378	378	378	136	245	499	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	378	229	46	446	275	446	229	275	509	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	46	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	101	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	273	275	378	378	273	273	226	509	378	482	226	273	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	364	245	229	46	273	226	273	498	273	471	498	508	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	378	229	273	46	492	504	136	481	364	233	493	482	503	493	446	136	378	273	471	471	79	378	482	378	498	501	501	446	378	499	482	273	101	273	378	482	492	233	446	446	183	364	46	482	275	446	507	73	233	446	273	446	504	498	493	226	499	499	498	136	446	101	136	492	273	245	378	46	46	378	378	273	273	364	378	503	245	499	499	14	482	482	136	245	273	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	509	364	378	273	46	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	482	378	446	482	482	226	499	273	245	498	273	273	378	504	226	364	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	378	273	273	159	364	503	378	504	73	245	275	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	46	159	14	378	501	245	273	498	273	101	378	233
364	46	446	378	273	492	46	482	245	378	492	446	273	273	446	46	46	493	446	275	499	446	136	496	446	446	493	273	136	136	245	378	499	273	501	136	446	499	275	499	378	446	275	159	482	482	273	136	378	498	273	46	498	46	273	273	446	503	273	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	471	136	481	183	504	364	493	79	499	73	273	101	101	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	14	273	378	378	233	136	364	136	275	496	273	378	471	101	14	509	499	136	493	504	378	245	275	273	378	378	378	136	493	499	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	378	499	273	229	498	446	275	446	229	275	509	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	46	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	446	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	273	136	378	378	273	273	226	509	378	482	226	273	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	46	245	229	46	273	226	273	498	273	471	498	498	378	471	226	482	498	136	471	378	471	498	226	378	364	226	378	378	229	273	364	492	504	136	481	364	233	493	136	503	493	446	482	378	273	471	471	79	378	482	378	498	501	501	446	378	499	482	273	101	273	378	482	492	233	446	446	183	364	46	482	46	446	507	73	233	446	378	446	482	498	493	226	499	499	498	136	446	101	136	492	273	245	378	46	46	378	378	273	378	364	378	503	245	499	499	14	482	482	136	245	46	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	275	364	378	273	273	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	482	378	101	482	482	226	101	273	245	498	273	273	378	504	226	364	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	79	364	136	273	273	159	364	503	378	275	73	245	275	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	273	501	493	273	498	273	101	378	233
364	46	446	378	273	492	46	482	245	378	492	446	273	273	446	46	46	493	446	275	499	446	136	496	446	245	493	498	136	136	245	378	499	273	501	136	446	499	273	499	378	446	275	159	482	482	273	136	378	498	273	46	498	46	273	273	446	503	46	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	273	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	493	482	378	245	275	273	378	378	378	136	493	499	378	482	510	471	136	508	136	471	378	364	378	378	501	499	101	482	273	378	499	378	229	509	446	275	446	229	275	492	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	46	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	446	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	273	136	378	378	273	273	226	509	378	226	226	378	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	364	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	46	136	471	378	471	471	226	378	364	226	378	378	229	273	364	492	504	136	481	364	233	493	482	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	482	273	101	46	378	482	492	233	446	446	183	46	46	482	275	446	507	73	233	446	378	446	482	498	493	226	499	499	498	136	446	101	136	492	273	245	378	46	46	378	378	273	378	364	378	503	245	101	499	14	482	482	136	245	273	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	275	364	378	273	273	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	275	378	446	482	136	226	499	273	245	498	273	273	378	504	226	378	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	46	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	46	159	14	273	501	446	273	498	273	101	136	233
364	46	446	378	46	492	509	482	245	378	492	446	273	273	446	46	46	493	446	275	499	446	496	496	446	446	493	273	136	136	245	136	499	273	501	136	446	499	273	503	378	446	275	159	482	482	273	136	226	498	273	46	498	46	273	273	446	503	273	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	471	136	481	183	504	364	493	79	229	73	273	101	101	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	493	482	378	245	492	273	378	378	378	136	245	499	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	273	229	46	446	275	446	229	275	492	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	46	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	101	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	273	136	378	378	273	378	226	509	378	226	226	378	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	364	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	378	229	273	46	492	504	136	481	364	233	493	136	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	482	273	101	46	378	482	492	233	446	446	183	364	46	482	509	446	507	73	233	446	273	446	482	498	493	482	499	499	509	136	446	101	136	492	273	245	378	46	46	378	378	273	378	364	378	503	245	101	499	14	136	482	136	245	46	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	378	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	364	378	273	273	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	501	378	446	482	482	226	101	273	245	498	273	273	378	504	226	364	101	79	446	73	73	275	79	245	446	101	136	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	501	446	273	498	273	101	136	233
364	46	446	273	273	492	509	482	245	378	275	446	46	273	446	46	273	493	446	275	499	446	496	496	446	446	493	273	136	136	245	378	499	273	501	136	446	499	273	503	226	446	275	159	482	482	273	136	273	498	273	46	498	46	273	273	446	503	273	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	101	159	273	273	226	14	273	79	499	482	46	273	73	378	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	493	482	378	245	492	273	378	378	378	136	245	499	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	378	499	378	229	46	446	275	446	229	275	492	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	509	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	101	378	273	226	378	481	14	496	498	493	46	273	492	273	136	446	79	273	482	378	378	273	273	226	509	378	482	226	273	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	46	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	378	229	273	46	492	504	136	481	364	233	493	136	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	501	273	101	273	378	482	492	233	446	446	183	364	46	482	509	446	507	73	233	446	378	446	482	498	493	482	499	499	498	136	446	101	136	492	273	245	378	46	46	378	378	273	378	364	378	503	245	101	499	14	136	482	136	245	46	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	364	378	273	273	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	501	378	101	482	482	226	101	273	245	498	273	273	378	504	226	364	101	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	275	159	446	492	378	498	275	273	79	446	492	273	482	446	492	245	481	101	509	159	14	378	501	245	273	498	273	101	136	233
364	46	446	378	273	492	509	482	245	378	275	446	46	273	446	46	46	493	446	275	499	446	496	496	446	229	493	273	136	136	245	378	499	273	501	136	446	499	273	503	378	446	275	159	482	482	273	136	378	498	273	46	498	46	273	498	446	503	273	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	378	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	493	482	378	245	275	273	378	378	378	136	245	101	378	482	510	471	136	508	136	471	378	364	378	378	501	499	101	482	273	136	499	378	229	46	446	275	446	229	275	492	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	509	183	79	471	378	508	46	229	14	233	378	378	499	275	446	378	101	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	378	275	378	378	273	378	226	509	378	482	226	378	273	364	73	273	498	136	275	226	498	46	492	275	471	273	226	498	498	364	245	229	46	273	226	226	498	273	471	498	508	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	273	229	273	364	492	504	136	481	364	233	493	482	503	493	446	482	378	273	471	275	79	378	482	378	498	501	501	446	378	499	501	273	101	273	378	482	492	233	446	446	183	46	46	482	509	446	507	73	233	446	378	446	482	509	493	482	499	499	46	136	446	101	136	492	378	245	378	46	46	378	378	273	378	364	378	503	245	499	499	14	482	482	136	245	46	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	364	378	273	273	273	159	136	73	446	496	136	364	496	446	446	508	504	101	364	505	501	378	101	501	275	226	101	273	245	498	273	273	378	504	226	364	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	501	493	273	498	273	101	136	233
364	46	446	378	273	492	509	482	245	136	275	446	46	273	446	46	46	493	446	275	499	446	496	496	446	229	493	273	136	136	245	378	499	273	501	136	493	499	46	503	378	446	275	159	482	482	273	136	273	498	273	46	498	46	378	273	446	503	273	378	46	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	493	482	378	245	275	273	378	378	378	136	245	499	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	273	229	509	446	275	446	229	275	492	79	273	471	159	378	233	509	14	378	136	446	275	46	378	14	509	183	79	471	378	508	46	229	504	233	378	378	499	275	446	378	101	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	378	482	378	378	273	378	226	509	378	482	226	378	273	364	73	273	498	136	275	226	498	46	492	275	471	273	226	498	498	364	245	229	46	273	226	226	498	273	275	498	508	378	471	226	482	273	136	471	378	471	471	226	378	364	226	378	378	229	273	46	492	504	136	481	364	233	493	482	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	501	273	101	46	378	482	492	233	446	446	183	364	509	482	509	446	507	73	233	446	378	446	482	509	493	226	499	499	498	136	446	101	136	492	378	245	378	46	46	378	378	273	378	364	378	503	245	499	499	14	482	482	136	245	226	493	101	14	14	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	364	378	273	273	273	159	136	73	446	496	482	364	496	446	446	471	504	101	364	505	501	378	101	482	482	226	101	378	245	498	273	273	378	504	226	378	101	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	501	493	273	498	273	101	136	233
364	46	446	378	46	492	509	482	245	136	275	446	46	273	446	509	46	493	446	275	499	446	496	496	446	229	493	273	136	136	245	378	499	273	501	136	446	499	273	503	226	446	275	159	482	482	273	136	378	498	273	46	498	46	273	273	446	503	273	378	509	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	245	482	378	245	275	273	378	378	378	136	245	101	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	378	229	498	446	509	446	229	275	275	79	273	492	159	378	233	509	14	378	136	446	275	46	378	14	509	183	79	471	378	508	46	229	504	233	136	378	499	275	446	378	101	378	273	378	378	481	14	496	498	493	46	273	492	273	136	446	79	378	482	378	378	273	378	226	509	378	226	226	378	273	364	73	273	498	136	275	226	498	46	492	275	471	273	226	498	498	364	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	273	136	471	378	471	471	226	378	364	226	378	378	229	273	46	492	504	136	481	364	233	493	482	503	493	446	482	378	273	471	275	79	378	482	378	498	501	501	446	378	499	501	273	101	46	378	482	492	233	446	446	183	46	509	482	509	446	507	73	233	446	273	446	482	509	493	482	499	499	498	136	446	101	136	492	273	245	378	509	46	378	378	273	378	364	378	503	245	101	499	14	482	482	136	245	226	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	364	378	273	273	273	159	136	73	446	496	482	364	496	446	446	508	504	101	364	505	501	378	101	482	482	226	101	273	245	498	273	273	378	504	226	364	101	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	482	73	245	482	159	446	492	378	508	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	501	245	378	498	273	101	136	233
364	46	446	378	273	492	509	482	245	136	275	446	46	273	446	509	46	493	446	275	499	446	496	496	446	229	493	273	136	136	245	378	499	273	501	136	446	499	273	503	136	446	275	159	482	482	46	136	273	498	273	46	498	46	273	273	446	503	273	378	509	378	378	498	471	493	492	46	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	245	482	378	245	275	273	378	378	378	136	245	101	378	482	510	471	136	508	136	471	378	364	378	378	501	499	101	482	273	136	499	378	229	509	446	275	446	229	275	275	79	273	471	159	378	233	509	14	378	136	446	275	46	378	14	509	183	79	471	378	508	46	229	504	233	136	378	499	275	446	136	101	378	273	378	378	503	14	496	498	493	46	273	492	273	136	446	79	378	482	378	378	273	378	226	509	378	482	226	378	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	46	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	46	136	471	378	471	471	226	378	364	226	378	364	229	273	46	492	504	136	481	364	233	493	482	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	482	273	101	46	378	482	492	233	446	446	183	46	509	482	509	446	507	73	233	446	378	446	482	509	493	226	499	499	498	136	446	101	136	492	273	245	378	509	46	378	378	273	378	364	378	503	245	101	499	14	482	482	136	245	509	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	46	378	273	46	273	159	136	73	446	496	482	364	496	446	446	508	504	101	364	505	501	378	446	482	482	226	499	273	245	498	273	273	378	504	226	364	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	501	245	378	498	273	101	136	233
364	46	446	378	273	492	509	482	245	136	275	446	46	273	446	509	46	493	79	275	499	446	496	496	446	446	493	273	136	136	245	378	499	273	501	136	446	499	273	503	136	446	275	159	482	482	273	136	378	498	46	46	498	46	273	498	446	503	46	378	509	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	159	159	273	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	136	275	496	273	273	471	101	14	509	499	136	245	482	378	245	275	273	378	378	378	136	245	101	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	378	229	509	446	275	446	229	275	275	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	509	183	79	471	378	508	46	229	504	233	136	378	499	275	446	136	101	378	273	378	378	503	14	496	498	493	46	273	492	273	136	446	79	378	482	378	378	273	378	226	509	378	482	226	378	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	46	245	229	46	273	226	226	498	273	471	498	498	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	364	229	273	46	492	504	136	481	364	233	493	482	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	79	378	499	482	273	101	46	378	482	492	233	446	446	183	46	509	482	509	446	507	73	233	446	46	446	482	498	493	482	499	499	509	136	446	101	482	492	273	245	378	509	46	378	378	273	378	364	378	503	245	101	499	14	482	482	136	245	226	493	229	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	46	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	226	46	378	273	46	273	159	136	73	446	496	136	364	496	446	446	508	504	446	364	505	501	136	446	482	482	226	101	273	245	498	273	273	378	504	226	364	446	79	446	73	73	482	79	245	446	101	378	378	136	364	498	493	364	136	273	273	159	364	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	378	482	245	273	498	273	101	136	233
364	46	446	378	46	492	509	482	245	378	275	446	46	273	446	509	46	493	446	275	499	446	136	496	446	446	493	273	136	136	245	378	499	273	501	136	493	499	273	499	136	446	275	159	482	482	273	136	378	498	273	46	498	46	273	498	446	503	273	378	509	378	378	498	471	493	492	273	245	73	233	446	446	446	446	79	446	245	136	481	183	504	364	493	79	499	73	273	101	101	159	46	273	226	14	273	79	499	482	46	273	73	46	482	498	273	273	378	378	233	136	364	482	275	496	273	273	471	101	14	509	499	136	245	482	378	245	275	273	378	378	378	136	245	101	378	482	510	471	136	508	136	471	378	378	378	378	501	499	101	482	273	136	499	378	229	509	446	275	446	229	275	511	79	273	471	159	378	233	509	14	378	136	79	275	46	378	14	509	183	79	471	378	508	46	229	504	233	136	378	499	275	446	378	446	378	273	378	378	503	14	496	498	493	46	273	492	273	136	446	79	273	482	378	378	273	378	226	509	378	482	226	378	273	364	73	273	498	136	275	226	498	498	492	275	471	273	226	498	498	46	245	229	46	273	226	273	498	273	471	498	498	378	471	226	226	498	136	471	378	471	471	226	378	364	226	378	46	229	273	46	492	504	136	481	364	233	493	136	503	493	446	136	378	273	471	275	79	378	482	378	498	501	501	446	378	499	482	273	101	46	378	482	492	233	446	446	183	46	509	482	509	446	507	73	233	446	378	446	482	498	493	482	499	499	509	136	446	101	136	492	273	245	378	509	46	378	378	273	378	364	378	503	245	101	499	14	482	482	136	245	226	493	159	14	136	364	364	364	364	364	364	364	364	364	364	364	364	364	378	364	364	364	364	364	364	364	364	364	364	364	498	46	364	364	364	364	364	364	364	364	364	364	46	364	364	364	226	46	378	273	46	273	159	136	73	446	496	482	364	496	446	446	508	504	101	364	505	501	136	446	482	482	226	101	273	245	498	273	273	378	504	226	378	446	79	446	73	73	482	79	245	446	101	378	378	364	46	498	493	364	136	273	273	159	46	503	378	275	73	245	482	159	446	492	378	498	275	273	79	446	275	273	482	446	492	245	481	101	509	159	14	273	501	245	273	498	273	101	136	233
